Probe	Symbol	Description	Chromosome	Chromosome Location	GenBank	Gene	PubMed	Gene Ontology	Pathway
248253_at	CRF3	encodes a member of the ERF (ethylene response factor) subfamily B-5 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 7 members in this subfamily.	5	-21617813	AT5G53290	835410	11118137, 16214899, 16832061, 17217462, 18923020, 21705390, 22664253	GO:0003677: DNA binding, GO:0003700: DNA-binding transcription factor activity, GO:0005515: protein binding, GO:0005634: nucleus, GO:0005634: nucleus, GO:0006355: regulation of transcription, DNA-templated, GO:0006606: protein import into nucleus, GO:0009165: nucleotide biosynthetic process, GO:0048366: leaf development, GO:0048825: cotyledon development	
265006_at	TIM13	Encodes a putative small zinc finger-like protein (TIM13); nucleus-encoded gene whose product is found in the mitochondrial inner membrane space.	1	-22718705	AT1G61570	842453	14671022, 14730085, 20018591, 20736450	GO:0001510: RNA methylation, GO:0005507: copper ion binding, GO:0005739: mitochondrion, GO:0005743: mitochondrial inner membrane, GO:0005758: mitochondrial intermembrane space, GO:0006626: protein targeting to mitochondrion, GO:0006626: protein targeting to mitochondrion, GO:0009507: chloroplast, GO:0015450: P-P-bond-hydrolysis-driven protein transmembrane transporter activity	
247373_at			5	25330189	AT5G63150	836436		GO:0003674: molecular_function, GO:0008150: biological_process	
266258_at			2	11818491, 11818696, 11818696	AT2G27720	817318	11598216, 14617066, 14730065, 15734919, 15821981, 17404219, 17934214, 18433157, 18650403, 18633119, 22195043, 23289948	GO:0003735: structural constituent of ribosome, GO:0005634: nucleus, GO:0005737: cytoplasm, GO:0005829: cytosol, GO:0005840: ribosome, GO:0006414: translational elongation, GO:0009409: response to cold, GO:0016020: membrane, GO:0022626: cytosolic ribosome	03010: Ribosome
256438_s_at								GO:0003735: structural constituent of ribosome, GO:0005840: ribosome, GO:0006412: translation, GO:0022625: cytosolic large ribosomal subunit	
259326_at	MPPalpha		3	5599778	AT3G16480	820896	12185496, 12609038, 12970493, 14576160, 14671022, 14730085, 15998247, 16113211, 16514558, 16618929, 18189341, 18305213, 20118269, 22131051	GO:0004222: metalloendopeptidase activity, GO:0005739: mitochondrion, GO:0005739: mitochondrion, GO:0005741: mitochondrial outer membrane, GO:0005743: mitochondrial inner membrane, GO:0005750: mitochondrial respiratory chain complex III, GO:0005758: mitochondrial intermembrane space, GO:0005759: mitochondrial matrix, GO:0005774: vacuolar membrane, GO:0006508: proteolysis, GO:0006511: ubiquitin-dependent protein catabolic process, GO:0009507: chloroplast, GO:0009536: plastid, GO:0009853: photorespiration, GO:0051788: response to misfolded protein, GO:0080129: proteasome core complex assembly	
260132_s_at								GO:0003674: molecular_function, GO:0005634: nucleus, GO:0008150: biological_process	
250179_at			5	-4655903, -4655903	AT5G14440	831295		GO:0003674: molecular_function, GO:0005634: nucleus, GO:0008150: biological_process	
258821_at			3	2299774	AT3G07230	819912	12969430, 18805951, 18775970	GO:0003674: molecular_function, GO:0005634: nucleus, GO:0005829: cytosol, GO:0009735: response to cytokinin	
259225_at			3	2423085, 2423070	AT3G07590	819950	14617064, 16339783, 16776300, 18650403, 21142222	GO:0003674: molecular_function, GO:0005634: nucleus, GO:0005634: nucleus, GO:0005732: small nucleolar ribonucleoprotein complex, GO:0005774: vacuolar membrane, GO:0005829: cytosol, GO:0006626: protein targeting to mitochondrion, GO:0009640: photomorphogenesis	03040: Spliceosome
249625_at			5	-14884331	AT5G37480	833726	18315867, 18775970	GO:0003674: molecular_function, GO:0008150: biological_process, GO:0009625: response to insect, GO:0009862: systemic acquired resistance, salicylic acid mediated signaling pathway, GO:0031348: negative regulation of defense response	
253996_at	ATNAP1;1, NAP1;1	Encodes a member of a small gene family of proteins with similarity to nucleosome assembly proteins.May function in nucleotide excision repair. Loss of function mutations have no obvious visible phenotypes but do seem to affect transcription of NER related genes., Encodes a member of a small gene family of proteins with similarity to nucleosome assembly proteins.May function in nucleotide excision repair. Loss of function mutations have no obvious visible phenotypes but do seem to affect transcription of NER related genes.	4, 4	13232595, 13232595	AT4G26110	828717	15345049, 17041028, 17122067, 17096212, 19228338, 19825649	GO:0003677: DNA binding, GO:0005634: nucleus, GO:0005634: nucleus, GO:0005634: nucleus, GO:0005737: cytoplasm, GO:0005829: cytosol, GO:0005886: plasma membrane, GO:0006281: DNA repair, GO:0006334: nucleosome assembly	
264441_at			1	-9527574	AT1G27435	839634		GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process	
251552_at			3	21711563	AT3G58700	825039	11598216, 14558660, 15215502, 15821981, 17934214, 22195043	GO:0001510: RNA methylation, GO:0003735: structural constituent of ribosome, GO:0005737: cytoplasm, GO:0005773: vacuole, GO:0006412: translation, GO:0022625: cytosolic large ribosomal subunit, GO:0022625: cytosolic large ribosomal subunit, GO:0022626: cytosolic ribosome	
250974_at	BIN5, RHL2	Involved in the patterning and shape of leaf trichomes. Encodes the DNA topoisomerase VI SPO11-3, involved in endoreduplication, Involved in the patterning and shape of leaf trichomes. Encodes the DNA topoisomerase VI SPO11-3, involved in endoreduplication	5, 5	642558	AT5G02820	831314	9165126, 12119417, 12953064, 16339310, 17092318, 17088095, 17951446, 18805951, 19626137	GO:0003677: DNA binding, GO:0003918: DNA topoisomerase type II (ATP-hydrolyzing) activity, GO:0003918: DNA topoisomerase type II (ATP-hydrolyzing) activity, GO:0005515: protein binding, GO:0005524: ATP binding, GO:0005634: nucleus, GO:0005634: nucleus, GO:0006259: DNA metabolic process, GO:0006265: DNA topological change, GO:0009957: epidermal cell fate specification, GO:0042802: identical protein binding	
266535_s_at								GO:0003735: structural constituent of ribosome, GO:0005739: mitochondrion, GO:0005840: ribosome, GO:0006412: translation, GO:0009507: chloroplast	
256065_at			1	2168564	AT1G07070	837218	15310832, 16297073, 17934214, 20736450	GO:0003735: structural constituent of ribosome, GO:0005737: cytoplasm, GO:0005829: cytosol, GO:0005840: ribosome, GO:0006412: translation, GO:0022625: cytosolic large ribosomal subunit, GO:0042254: ribosome biogenesis	03010: Ribosome
266074_at			2	8123221, 8123195	AT2G18740	816389	21142222	GO:0003674: molecular_function, GO:0005634: nucleus, GO:0005634: nucleus, GO:0005732: small nucleolar ribonucleoprotein complex, GO:0005829: cytosol	
264913_at			1	-22366701	AT1G60770	842371	14671022, 15269332	GO:0005739: mitochondrion, GO:0005739: mitochondrion, GO:0008150: biological_process	
247520_at			5	-24653422, -24653409, -24653409, -24653352	AT5G61310	836252	16061502, 16113211	GO:0004129: cytochrome-c oxidase activity, GO:0005739: mitochondrion	
