Probe	Symbol	Description	Chromosome	Chromosome Location	GenBank	Gene	PubMed	Gene Ontology	Pathway
260555_at			2	17428098, 17428157	AT2G41780	818777		GO:0003674: molecular_function, GO:0005634: nucleus, GO:0008150: biological_process	
254190_at			4	12419394	AT4G23885	828488	14671022, 18650403, 18775970	GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process, GO:0009507: chloroplast	
258105_at			3	8476571	AT3G23605	821940	18650403, 18775970	GO:0003674: molecular_function, GO:0008150: biological_process	
250168_at			5	4977538, 4977535	AT5G15320	831384	13677466, 18805951, 18775970	GO:0003674: molecular_function, GO:0008150: biological_process, GO:0009507: chloroplast	
246944_at			5	8856997, 8856997	AT5G25450	832619	12970493, 14671022, 15047901, 15829605, 16113211, 16258017, 18212028, 18189341, 18305213, 18650403, 18603616, 18775970	GO:0005739: mitochondrion, GO:0005739: mitochondrion, GO:0005750: mitochondrial respiratory chain complex III, GO:0006122: mitochondrial electron transport, ubiquinol to cytochrome c, GO:0008121: ubiquinol-cytochrome-c reductase activity, GO:0016020: membrane	00190: Oxidative phosphorylation, 01100: Metabolic pathways
248979_at	AtPP2-A6, PP2-A6		5, 5	-18191575	AT5G45080	834539	12366802, 12529520, 16998091, 17061125	GO:0005737: cytoplasm, GO:0006952: defense response, GO:0030246: carbohydrate binding	
261470_at	ATERF11, ERF11	encodes a member of the ERF (ethylene response factor) subfamily B-1 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 15 members in this subfamily including ATERF-3, ATERF-4, ATERF-7, and leafy petiole., encodes a member of the ERF (ethylene response factor) subfamily B-1 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 15 members in this subfamily including ATERF-3, ATERF-4, ATERF-7, and leafy petiole.	1, 1	-9955969	AT1G28370	839733	9687012, 11118137, 11487705, 15078335, 15181204, 15282545, 15235117, 15489280, 16183832, 16172500, 16258011, 16244138, 16214899, 16901781, 17408486, 17587374, 17616737, 18287490, 18452589, 21645149, 21761140	GO:0000165: MAPK cascade, GO:0003677: DNA binding, GO:0003700: DNA-binding transcription factor activity, GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0005634: nucleus, GO:0006355: regulation of transcription, DNA-templated, GO:0006612: protein targeting to membrane, GO:0007154: cell communication, GO:0007165: signal transduction, GO:0009409: response to cold, GO:0009414: response to water deprivation, GO:0009723: response to ethylene, GO:0009733: response to auxin, GO:0009737: response to abscisic acid, GO:0009738: abscisic acid-activated signaling pathway, GO:0009753: response to jasmonic acid, GO:0009862: systemic acquired resistance, salicylic acid mediated signaling pathway, GO:0009863: salicylic acid mediated signaling pathway, GO:0009867: jasmonic acid mediated signaling pathway, GO:0009873: ethylene-activated signaling pathway, GO:0009873: ethylene-activated signaling pathway, GO:0010200: response to chitin, GO:0010363: regulation of plant-type hypersensitive response, GO:0030968: endoplasmic reticulum unfolded protein response, GO:0031348: negative regulation of defense response, GO:0035556: intracellular signal transduction, GO:0042538: hyperosmotic salinity response, GO:0043069: negative regulation of programmed cell death, GO:0050832: defense response to fungus	
266426_x_at								GO:0003674: molecular_function, GO:0005737: cytoplasm, GO:0008150: biological_process	
252117_at	SSL5, YLS2	Although this enzyme is predicted to encode a strictosidine synthase (SS), it lacks a conserved catalytic glutamate residue found in active SS enzymes and it is not expected to have SS activity., Although this enzyme is predicted to encode a strictosidine synthase (SS), it lacks a conserved catalytic glutamate residue found in active SS enzymes and it is not expected to have SS activity.	3, 3	19086465, 19086452	AT3G51430	824306	11230571, 15010611, 15295017, 16618929, 16603661, 16776300, 16941220, 18650403, 19121120, 20736450	GO:0005783: endoplasmic reticulum, GO:0009507: chloroplast, GO:0009821: alkaloid biosynthetic process, GO:0010150: leaf senescence, GO:0016844: strictosidine synthase activity	
259977_at			1	28740691	AT1G76590	843992	16214899, 16500996, 18305208, 18671872	GO:0005739: mitochondrion, GO:0008150: biological_process, GO:0010286: heat acclimation	
260584_at			2	-18103752, -18103751	AT2G43660	818968		GO:0005886: plasma membrane, GO:0008150: biological_process	
254624_at			4	-10234667, -10234667	AT4G18580	827590	18650403, 18775970	GO:0003674: molecular_function, GO:0008150: biological_process	
263839_at	ATMEMB11, MEMB11	member of Membrin Gene Family, member of Membrin Gene Family	2, 2	-15491435, -15491040	AT2G36900	818264	11115874, 15371352, 15342965, 16258011, 16244155, 16236155, 18182439, 18775970	GO:0000139: Golgi membrane, GO:0005484: SNAP receptor activity, GO:0005789: endoplasmic reticulum membrane, GO:0005794: Golgi apparatus, GO:0016192: vesicle-mediated transport	04130: SNARE interactions in vesicular transport
258158_at	ATACP5, ATPAP17, PAP17		3, 3, 3	6089605	AT3G17790	821047	17419847, 17408486, 17559508, 18506479, 18650403, 18684332, 18775970, 21546457, 10504579, 12021284, 12432076, 14617064, 15681455, 16244908, 16244138, 16679424, 16673935, 16963519, 17085508, 17085506, 17346263	GO:0003993: acid phosphatase activity, GO:0004722: protein serine/threonine phosphatase activity, GO:0005576: extracellular region, GO:0009986: cell surface, GO:0016036: cellular response to phosphate starvation, GO:0016791: phosphatase activity, GO:0019375: galactolipid biosynthetic process, GO:0030643: cellular phosphate ion homeostasis, GO:0042542: response to hydrogen peroxide, GO:0045892: negative regulation of transcription, DNA-templated	
259941_s_at								GO:0005634: nucleus, GO:0008026: ATP-dependent helicase activity, GO:0008266: poly(U) RNA binding, GO:0009507: chloroplast	
