Probe	Symbol	Description	Chromosome	Chromosome Location	GenBank	Gene	PubMed	Gene Ontology	Pathway
258937_at			3	-3108810	AT3G10090	820170	11598216, 15821981, 17934214, 22195043	GO:0003735: structural constituent of ribosome, GO:0003735: structural constituent of ribosome, GO:0005618: cell wall, GO:0005737: cytoplasm, GO:0005829: cytosol, GO:0005840: ribosome, GO:0006407: rRNA export from nucleus, GO:0006412: translation, GO:0022626: cytosolic ribosome, GO:0022627: cytosolic small ribosomal subunit, GO:0042254: ribosome biogenesis	
247010_at			5	-26937813	AT5G67510	836887	11598216, 17934214	GO:0003735: structural constituent of ribosome, GO:0005515: protein binding, GO:0006412: translation, GO:0009507: chloroplast, GO:0015934: large ribosomal subunit, GO:0022625: cytosolic large ribosomal subunit, GO:0022626: cytosolic ribosome	03010: Ribosome
256597_at			3	10682097	AT3G28500	822480	11598216, 15215506, 15734919, 16489130, 16679424, 17631525, 17934214, 18433157, 18775970, 20118269	GO:0003735: structural constituent of ribosome, GO:0005737: cytoplasm, GO:0005829: cytosol, GO:0005840: ribosome, GO:0005886: plasma membrane, GO:0006414: translational elongation, GO:0022626: cytosolic ribosome	03010: Ribosome
251355_at			3	-22610437	AT3G61100	825282	15695462	GO:0005634: nucleus	
257135_at			3	4104576	AT3G12900	820473	15489280, 15539473, 16998091, 17028341, 17028338, 18772308, 20627899	GO:0005737: cytoplasm, GO:0016706: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors, GO:0071281: cellular response to iron ion, GO:0071369: cellular response to ethylene stimulus, GO:0071732: cellular response to nitric oxide	
248942_at			5	-18426104	AT5G45480	834584	16618929, 16648215, 18650403	GO:0003674: molecular_function, GO:0005886: plasma membrane, GO:0006569: tryptophan catabolic process, GO:0008150: biological_process, GO:0009684: indoleacetic acid biosynthetic process, GO:0010167: response to nitrate, GO:0015706: nitrate transport	
263016_at			1	8314924	AT1G23410	838949	11598216, 11590065, 15282545, 15276459, 17934214, 18989364	GO:0005794: Golgi apparatus, GO:0005886: plasma membrane, GO:0006342: chromatin silencing, GO:0009165: nucleotide biosynthetic process, GO:0009506: plasmodesma, GO:0022627: cytosolic small ribosomal subunit, GO:0051567: histone H3-K9 methylation, GO:0052541: plant-type cell wall cellulose metabolic process, GO:0052546: cell wall pectin metabolic process	03010: Ribosome
249815_at			5	-8063985	AT5G23900	832455	11598216, 12777046, 15821981, 17934214, 22195043	GO:0003735: structural constituent of ribosome, GO:0005737: cytoplasm, GO:0005840: ribosome, GO:0006412: translation, GO:0016020: membrane, GO:0022625: cytosolic large ribosomal subunit, GO:0022626: cytosolic ribosome, GO:0042254: ribosome biogenesis	03010: Ribosome
256619_at			3	-8885818	AT3G24460	822036	15659355, 20032078	GO:0016020: membrane	
251059_at	ATPK10, CIPK15, PKS3, SIP2, SNRK3.1	Encodes a CBL-interacting serine/threonine protein kinase, also has similarities to SOS2 kinase., Encodes a CBL-interacting serine/threonine protein kinase, also has similarities to SOS2 kinase., Encodes a CBL-interacting serine/threonine protein kinase, also has similarities to SOS2 kinase., Encodes a CBL-interacting serine/threonine protein kinase, also has similarities to SOS2 kinase., Encodes a CBL-interacting serine/threonine protein kinase, also has similarities to SOS2 kinase.	5, 5, 5, 5, 5	309715, 309434, 309434	AT5G01810	830556	10725350, 11230129, 12194854, 12805596, 18775970, 21477822	GO:0004672: protein kinase activity, GO:0004672: protein kinase activity, GO:0005737: cytoplasm, GO:0005886: plasma membrane, GO:0009738: abscisic acid-activated signaling pathway, GO:0009788: negative regulation of abscisic acid-activated signaling pathway, GO:0016301: kinase activity	
267516_at	RPT2	light inducible root phototropism 2 encoding a signal transducer of the phototropic response in Arabidopsis	2	-13002742, -13002742, -13002742	AT2G30520	817601	10662859, 10542152, 16908503, 19524572, 20202166, 21490420, 21653191, 21990941, 22374392, 23148892	GO:0005634: nucleus, GO:0005634: nucleus, GO:0005737: cytoplasm, GO:0005886: plasma membrane, GO:0006816: calcium ion transport, GO:0007030: Golgi organization, GO:0009638: phototropism, GO:0009651: response to salt stress, GO:0009954: proximal/distal pattern formation, GO:0010227: floral organ abscission, GO:0019344: cysteine biosynthetic process, GO:0048439: flower morphogenesis	
265877_at	ATBZIP34, BZIP34	Encodes a member of the BZIP family of transcription factors. Forms heterodimers with the related protein AtbZIP61. Binds to G-boxes in vitro and is localized to the nucleus in onion epidermal cells., Encodes a member of the BZIP family of transcription factors. Forms heterodimers with the related protein AtbZIP61. Binds to G-boxes in vitro and is localized to the nucleus in onion epidermal cells.	2, 2	-17646900, -17646900	AT2G42380	818839	11118137, 11906833, 14576160, 15047879, 17577400, 17719007, 18650403, 19449183, 22101548	GO:0003677: DNA binding, GO:0003677: DNA binding, GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0005634: nucleus, GO:0009410: response to xenobiotic stimulus, GO:0009555: pollen development, GO:0030968: endoplasmic reticulum unfolded protein response, GO:0045893: positive regulation of transcription, DNA-templated	
261570_at	KCS1	Encodes a condensing enzyme KCS1 (3-ketoacyl-CoA synthase 1) which is involved in the critical fatty acid elongation process in wax biosynthesis.	1	-57269	AT1G01120	839395	10074711, 11341960, 12753585, 15070782, 18465198, 18650403, 20736450, 22284369	GO:0000038: very long-chain fatty acid metabolic process, GO:0000038: very long-chain fatty acid metabolic process, GO:0005783: endoplasmic reticulum, GO:0009409: response to cold, GO:0009409: response to cold, GO:0009416: response to light stimulus, GO:0009611: response to wounding, GO:0009805: coumarin biosynthetic process, GO:0009922: fatty acid elongase activity, GO:0010025: wax biosynthetic process, GO:0010025: wax biosynthetic process, GO:0016020: membrane, GO:0016746: transferase activity, transferring acyl groups, GO:0022626: cytosolic ribosome, GO:0030497: fatty acid elongation, GO:0042335: cuticle development, GO:0042335: cuticle development	
256275_at	ACT11	Encodes an actin that is expressed predominantly during reproductive development.	3	3857843	AT3G12110	820385	10889238, 9037165, 12029478, 12753585, 12805613, 12805594, 14671022, 15020747, 15051861, 15235117, 15377758, 15347787, 15703057, 16286646, 17855429, 18334669, 18384502, 18775970, 20687615, 21051945, 23064319	GO:0005200: structural constituent of cytoskeleton, GO:0005737: cytoplasm, GO:0005739: mitochondrion, GO:0005856: cytoskeleton, GO:0005886: plasma membrane, GO:0006094: gluconeogenesis, GO:0007010: cytoskeleton organization, GO:0009506: plasmodesma, GO:0009570: chloroplast stroma, GO:0009941: chloroplast envelope, GO:0010498: proteasomal protein catabolic process, GO:0010583: response to cyclopentenone, GO:0030036: actin cytoskeleton organization	
255969_at			1	7886542	AT1G22330	838839		GO:0003723: RNA binding, GO:0005634: nucleus, GO:0008150: biological_process	
246827_at			5	-9241546	AT5G26330	832702	12068095, 12805588, 15546358, 17293437, 18480120, 18650403, 22589469	GO:0005507: copper ion binding, GO:0005886: plasma membrane, GO:0010413: glucuronoxylan metabolic process, GO:0031225: anchored component of membrane, GO:0042546: cell wall biogenesis, GO:0044036: cell wall macromolecule metabolic process, GO:0045492: xylan biosynthetic process	
